Demo
net.optimized_memory = 0 
mini_batch = 1, batch = 16, time_steps = 1, train = 0 

 seen 64, trained: 864 K-images (13 Kilo-batches_64) 
video file: in/GH010013.MP4
Video stream: 1920 x 1440 
Objects:


FPS:0.0 	 AVG_FPS:0.0
Objects:

Buds: 100% 	(left_x: 1179   top_y:  718   width:   22   height:   25)
Buds: 99% 	(left_x:  787   top_y:  188   width:   27   height:   44)
Buds: 99% 	(left_x: 1403   top_y:  129   width:   36   height:   32)
Buds: 99% 	(left_x: 1334   top_y:  447   width:   31   height:   24)
Buds: 99% 	(left_x: 1256   top_y:  345   width:   23   height:   24)
Buds: 99% 	(left_x:  323   top_y:  757   width:   32   height:   39)
Buds: 99% 	(left_x:  798   top_y:  675   width:   30   height:   27)
Buds: 99% 	(left_x: 1182   top_y:  702   width:   21   height:   24)
Buds: 98% 	(left_x: 1245   top_y:  245   width:   26   height:   36)
Buds: 96% 	(left_x:  785   top_y:  288   width:   31   height:   35)
Buds: 87% 	(left_x:  914   top_y:  397   width:   16   height:   15)
Buds: 77% 	(left_x:  808   top_y:  288   width:   29   height:   33)
Buds: 40% 	(left_x:  723   top_y:  180   width:   25   height:   33)
Flowers: 100% 	(left_x: 1066   top_y:  985   width:   26   height:   32)
Flowers: 100% 	(left_x: 1104   top_y:  412   width:   25   height:   25)
Flowers: 100% 	(left_x:  882   top_y:  672   width:   23   height:   28)
Flowers: 100% 	(left_x: 1039   top_y:  941   width:   26   height:   26)
Flowers: 100% 	(left_x: 1070   top_y:  916   width:   23   height:   26)
Flowers: 100% 	(left_x: 1494   top_y: 1018   width:   22   height:   21)
Flowers: 100% 	(left_x: 1157   top_y:  443   width:   26   height:   27)
Flowers: 100% 	(left_x: 1093   top_y:  966   width:   20   height:   33)
Flowers: 99% 	(left_x: 1169   top_y:  548   width:   27   height:   27)
Flowers: 99% 	(left_x: 1030   top_y:  977   width:   28   height:   35)
Flowers: 99% 	(left_x: 1275   top_y:  381   width:   16   height:   26)
Flowers: 99% 	(left_x:  968   top_y:  716   width:   29   height:   25)
Flowers: 99% 	(left_x: 1514   top_y: 1035   width:   23   height:   19)
Flowers: 99% 	(left_x:   12   top_y: 1044   width:   22   height:   27)
Flowers: 99% 	(left_x:  675   top_y:  175   width:   30   height:   33)
Flowers: 99% 	(left_x: 1247   top_y:  308   width:   24   height:   29)
Flowers: 98% 	(left_x:  918   top_y:  687   width:   24   height:   30)
Flowers: 97% 	(left_x: 1202   top_y:  336   width:   26   height:   26)
Flowers: 97% 	(left_x:  358   top_y:  204   width:   40   height:   30)
Flowers: 94% 	(left_x: 1215   top_y:  325   width:   19   height:   24)
Flowers: 94% 	(left_x: 1839   top_y:  538   width:   39   height:   34)
